month,Acer,Apple,Asus,Dell,HP,Huawei,LG,Lenovo,Motorola,Samsung,Toshiba
January,0.0032506009238703433,0.9428120176028058,0.0038139898283886787,0.001914647674216904,0.0028612212055793723,0.0005260361472653409,0.00714239381248843,0.0032773855839493197,0.0017280660965238977,0.025598300066906988,0.007075341058005006
February,0.0072868621986489366,0.9218141862576549,0.005586218047148484,0.002627885550934656,0.008494993068650496,0.0006346800911934071,0.016310532111425868,0.0023751232957442757,0.003155414345453867,0.021703877824560798,0.01001022720858435
March,0.0018866858927065059,0.9481045736400057,0.002497173915576947,0.0015989228158468705,0.0032308352928415124,0.00045683509024196304,0.00808838360521416,0.0007842216188062584,0.0009419982590782079,0.02374879090202519,0.008661578967656685
April,0.0017983900650570504,0.9662121595977075,0.0015941606397674964,0.0009012863227231227,0.0020683457536053843,0.00021797218942548076,0.005654609681598081,0.0004818332608352732,0.00042303813079287386,0.014905999493310262,0.0057422048651775085
May,0.002423223511698998,0.9745081332228254,0.0011593498104953016,0.0006091570903297669,0.0016021340520595152,0.00018690432729755941,0.0041557579046828655,0.0003543801067280552,0.000446093033559041,0.009454576182348035,0.005100290757975525
June,0.0022346290534124634,0.9672400467183266,0.0019236553167561734,0.0013348584926113052,0.0016741651370337717,0.0005258220615390757,0.0036619422976818176,0.0007532882805687413,0.000583864374614724,0.01194868692458101,0.008119041342874297
July,0.0010539732816945795,0.9604336152558569,0.0015279644056998066,0.0007387253862833003,0.0014902008418160226,0.0003497996097894837,0.0036784436428446707,0.0005727798284950227,0.0184897416446655,0.008639291197371656,0.0030254649054830556
August,0.000902871892484146,0.9776895148003578,0.0020359061091892896,0.0007914091401187484,0.0013915145302356286,0.00022017236688126198,0.003316744497873673,0.0009265488779901338,0.00107325179482956,0.008404543243811517,0.0032475227462282603
September,0.001115257631012126,0.9777665871742576,0.0018855554474156767,0.0010495235761892661,0.0020426096534943245,0.00022904081179830028,0.0023748998254962406,0.0008900835283210527,0.0008227040653674579,0.007784672677726497,0.004039065608921534
October,0.0013870627613390895,0.972991760122105,0.0016665937555221581,0.0023589625766040653,0.0016210386427917688,0.00020616056687438878,0.0024514506504650065,0.0021767421256825084,0.0007723701438163713,0.009911810813147567,0.00445604784165215
November,0.0007470732391567258,0.9761966456689911,0.001501569132151748,0.0016651205616114851,0.00153539281611944,0.00016979320655103184,0.0021912855007398192,0.002311566232255851,0.0006562300779766655,0.008968505848460786,0.004056817715985309
December,0.0008279782968275424,0.9688557018698641,0.001833582976085946,0.0021492319863542627,0.0016071408325260361,0.0002832101496470778,0.0031731032084867617,0.001207009061465027,0.0007582189994721599,0.015000689719463695,0.004304132899807383
